ID;date;province;district;municipality;village;latitude;longitude;country;source;dataset;host;type;continent;year;location;full_name
AY854506;2001;NA;NA;NA;NA;NA;NA;Cuba;Nadin-Davis et al., 2006;Troupin et al., 2016;Mongoose;N gene;Caribbean;2001;Cuba;AY854506_Mongoose_2001_Cuba_NA_NA
AY854515;2001;NA;NA;NA;NA;NA;NA;Cuba;Nadin-Davis et al., 2006;Troupin et al., 2016;Mongoose;N gene;Caribbean;2001;Cuba;AY854515_Mongoose_2001_Cuba_NA_NA
KJ957437;2011;NA;NA;NA;NA;NA;NA;Grenada;Zieger et al., 2014;Troupin et al., 2016;Mongoose;N gene;Caribbean;2011;Grenada;KJ957437_Mongoose_2011_Grenada_NA_NA
KJ957434;2011;NA;NA;NA;NA;NA;NA;Grenada;Zieger et al., 2014;Troupin et al., 2016;Mongoose;N gene;Caribbean;2011;Grenada;KJ957434_Mongoose_2011_Grenada_NA_NA
KM067274;2012;NA;NA;NA;NA;NA;NA;Grenada;Zieger et al., 2014;Troupin et al., 2016;Mongoose;N gene;Caribbean;2012;Grenada;KM067274_Mongoose_2012_Grenada_NA_NA
KJ957444;2012;NA;NA;NA;NA;NA;NA;Grenada;Zieger et al., 2014;Troupin et al., 2016;Mongoose;N gene;Caribbean;2012;Grenada;KJ957444_Mongoose_2012_Grenada_NA_NA
KJ957449;2013;NA;NA;NA;NA;NA;NA;Grenada;Zieger et al., 2014;Troupin et al., 2016;Mongoose;N gene;Caribbean;2013;Grenada;KJ957449_Mongoose_2013_Grenada_NA_NA
KJ957450;2013;NA;NA;NA;NA;NA;NA;Grenada;Zieger et al., 2014;Troupin et al., 2016;Mongoose;N gene;Caribbean;2013;Grenada;KJ957450_Mongoose_2013_Grenada_NA_NA
KJ957440;2011;NA;NA;NA;NA;NA;NA;Grenada;Zieger et al., 2014;Troupin et al., 2016;Mongoose;N gene;Caribbean;2011;Grenada;KJ957440_Mongoose_2011_Grenada_NA_NA
FJ228497;2006;NA;NA;NA;NA;NA;NA;Puerto Rico;Velasco-Villa et al., unpublished;Troupin et al., 2016;Mongoose;N gene;Caribbean;2006;PuertoRico;FJ228497_Mongoose_2006_PuertoRico_NA_NA
JQ513538;1997;NA;NA;NA;NA;NA;NA;Puerto Rico;Nadin-Davis et al., unpublished;Troupin et al., 2016;Mongoose;N gene;Caribbean;1997;PuertoRico;JQ513538_Mongoose_1997_PuertoRico_NA_NA
FJ228495;2004;NA;NA;NA;NA;NA;NA;Puerto Rico;Velasco-Villa et al., unpublished;Troupin et al., 2016;Mongoose;N gene;Caribbean;2004;PuertoRico;FJ228495_Mongoose_2004_PuertoRico_NA_NA
FJ228496;2006;NA;NA;NA;NA;NA;NA;Puerto Rico;Velasco-Villa et al., unpublished;Troupin et al., 2016;Mongoose;N gene;Caribbean;2006;PuertoRico;FJ228496_Mongoose_2006_PuertoRico_NA_NA
JQ513537;1997;NA;NA;NA;NA;NA;NA;Puerto Rico;Nadin-Davis et al., unpublished;Troupin et al., 2016;Mongoose;N gene;Caribbean;1997;PuertoRico;JQ513537_Mongoose_1997_PuertoRico_NA_NA
JQ513528;1996;NA;NA;NA;NA;NA;NA;Puerto Rico;Nadin-Davis et al., unpublished;Troupin et al., 2016;Mongoose;N gene;Caribbean;1996;PuertoRico;JQ513528_Mongoose_1996_PuertoRico_NA_NA
JQ513536;1997;NA;NA;NA;NA;NA;NA;Puerto Rico;Nadin-Davis et al., unpublished;Troupin et al., 2016;Mongoose;N gene;Caribbean;1997;PuertoRico;JQ513536_Mongoose_1997_PuertoRico_NA_NA
KP860152;2013-08-01;Nantou;Nantou;NA;NA;NA;NA;Taiwan;Tsai et al., 2016;Troupin et al., 2016;Ferret Badger;N gene;Asia;2013;Taiwan-Nantou-Nantou;KP860152_Ferret-Badger_2013-08-01_Taiwan-Nantou-Nantou_NA_NA
A20;2016-02-23;NA;NA;Prey Kabbas Ko;NA;11.0953610184503;104.952082523586;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-PreyKabbasKo;A20_Dog_2016-02-23_Cambodia-PreyKabbasKo_11.0953610184503_104.952082523586
a31;2016-03-28;NA;NA;Trapeang Thma;NA;10.8031382259172;104.296393867268;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-TrapeangThma;a31_Dog_2016-03-28_Cambodia-TrapeangThma_10.8031382259172_104.296393867268
A35;2016-04-04;NA;NA;Prey Rumduol Khang Cheung;NA;11.1318695335634;104.524333113773;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-PreyRumduolKhangCheung;A35_Dog_2016-04-04_Cambodia-PreyRumduolKhangCheung_11.1318695335634_104.524333113773
A39;2016-04-26;NA;NA;Dot Kambaor;NA;11.4022718675942;104.762863591695;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-DotKambaor;A39_Dog_2016-04-26_Cambodia-DotKambaor_11.4022718675942_104.762863591695
A41;2016-05-03;NA;NA;Ta Ei;NA;11.0519505988277;104.955934866699;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-TaEi;A41_Dog_2016-05-03_Cambodia-TaEi_11.0519505988277_104.955934866699
A51;2016-05-19;NA;NA;Prey Preah Andoung;NA;11.3898761519057;105.588957520377;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-PreyPreahAndoung;A51_Dog_2016-05-19_Cambodia-PreyPreahAndoung_11.3898761519057_105.588957520377
A56;2016-05-26;NA;NA;Preaek Ta Meak;NA;11.7458726055807;105.010361600927;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-PreaekTaMeak;A56_Dog_2016-05-26_Cambodia-PreaekTaMeak_11.7458726055807_105.010361600927
A57;2016-05-27;NA;NA;Tram Sasar;NA;11.1948586053272;104.566117576339;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-TramSasar;A57_Dog_2016-05-27_Cambodia-TramSasar_11.1948586053272_104.566117576339
A75;2016-07-06;NA;NA;Prey Phdau Tboung;NA;11.1369395107142;104.871640349638;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-PreyPhdauTboung;A75_Dog_2016-07-06_Cambodia-PreyPhdauTboung_11.1369395107142_104.871640349638
A77;2016-07-08;NA;NA;Thnal Totueng;NA;11.4947943192237;104.667040065645;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-ThnalTotueng;A77_Dog_2016-07-08_Cambodia-ThnalTotueng_11.4947943192237_104.667040065645
A83;2016-08-11;NA;NA;Pratheat;NA;11.0398642525816;105.064177002858;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-Pratheat;A83_Dog_2016-08-11_Cambodia-Pratheat_11.0398642525816_105.064177002858
A85;2016-08-13;NA;NA;Trapeang Skon;NA;11.3248965370897;105.533457713757;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-TrapeangSkon;A85_Dog_2016-08-13_Cambodia-TrapeangSkon_11.3248965370897_105.533457713757
A90;2016-08-20;NA;NA;Prohut;NA;11.7194545911191;105.240991473918;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-Prohut;A90_Dog_2016-08-20_Cambodia-Prohut_11.7194545911191_105.240991473918
a091;2016-08-22;NA;NA;Borei Kammeakkar;NA;11.5108941423881;104.761516770871;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-BoreiKammeakkar;a091_Dog_2016-08-22_Cambodia-BoreiKammeakkar_11.5108941423881_104.761516770871
a093;2016-08-23;NA;NA;Tuol Khlong;NA;11.1001984170477;104.490962758221;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-TuolKhlong;a093_Dog_2016-08-23_Cambodia-TuolKhlong_11.1001984170477_104.490962758221
A96;2016-08-29;NA;NA;Prey Ba Srei;NA;11.1387450561154;105.356460283662;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-PreyBaSrei;A96_Dog_2016-08-29_Cambodia-PreyBaSrei_11.1387450561154_105.356460283662
A100;2016-09-09;NA;NA;Snao Touch;NA;10.7606784875076;104.399439660702;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-SnaoTouch;A100_Dog_2016-09-09_Cambodia-SnaoTouch_10.7606784875076_104.399439660702
A101;2016-09-13;NA;NA;Khnar Ta Nong;NA;11.2054296537807;104.559277636715;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-KhnarTaNong;A101_Dog_2016-09-13_Cambodia-KhnarTaNong_11.2054296537807_104.559277636715
A103;2016-09-19;NA;NA;Trapeang Prei;NA;11.2124253644496;104.51026010853;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-TrapeangPrei;A103_Dog_2016-09-19_Cambodia-TrapeangPrei_11.2124253644496_104.51026010853
A104;2016-09-19;NA;NA;Prey Dang Tuek;NA;11.4011588021019;104.711542052549;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-PreyDangTuek;A104_Dog_2016-09-19_Cambodia-PreyDangTuek_11.4011588021019_104.711542052549
a106;2016-09-21;NA;NA;Tumnob;NA;12.815656573305;105.168713915011;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-Tumnob;a106_Dog_2016-09-21_Cambodia-Tumnob_12.815656573305_105.168713915011
a109;2016-09-22;NA;NA;Mream Khang Tboung;NA;11.3495002846686;105.672333736296;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-MreamKhangTboung;a109_Dog_2016-09-22_Cambodia-MreamKhangTboung_11.3495002846686_105.672333736296
A111;2016-09-29;NA;NA;Khnach Khang Tboung;NA;11.1295133399734;104.70364388137;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-KhnachKhangTboung;A111_Dog_2016-09-29_Cambodia-KhnachKhangTboung_11.1295133399734_104.70364388137
A114;2016-10-06;NA;NA;Srangae Cheung;NA;12.0527612663598;105.160605664678;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-SrangaeCheung;A114_Dog_2016-10-06_Cambodia-SrangaeCheung_12.0527612663598_105.160605664678
A116;2016-10-08;NA;NA;Prasat;NA;11.1479161784892;105.543023250711;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-Prasat;A116_Dog_2016-10-08_Cambodia-Prasat_11.1479161784892_105.543023250711
A121;2016-10-18;NA;NA;Ballangk Khang Lech;NA;12.6976754282025;104.906310299888;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-BallangkKhangLech;A121_Dog_2016-10-18_Cambodia-BallangkKhangLech_12.6976754282025_104.906310299888
a131;2016-11-18;NA;NA;Krasang Chi Meae;NA;11.3329087617714;104.72372570811;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-KrasangChiMeae;a131_Dog_2016-11-18_Cambodia-KrasangChiMeae_11.3329087617714_104.72372570811
A133;2016-11-18;NA;NA;Prey Ta Mean;NA;11.3050699346149;104.676808976048;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-PreyTaMean;A133_Dog_2016-11-18_Cambodia-PreyTaMean_11.3050699346149_104.676808976048
A137;2016-11-25;NA;NA;Veang;NA;11.3246654503027;105.546103096387;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-Veang;A137_Dog_2016-11-25_Cambodia-Veang_11.3246654503027_105.546103096387
A148;2016-12-14;NA;NA;Kakruos;NA;10.9651587749092;105.86265387825;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-Kakruos;A148_Dog_2016-12-14_Cambodia-Kakruos_10.9651587749092_105.86265387825
A149;2016-12-15;NA;NA;Trapeang Tuk;NA;11.1460131115298;104.618913641357;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2016;Cambodia-TrapeangTuk;A149_Dog_2016-12-15_Cambodia-TrapeangTuk_11.1460131115298_104.618913641357
S70;2017-01-12;NA;NA;Phum Prey Tear;NA;11.5154881051519;104.840604879767;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PhumPreyTear;S70_Dog_2017-01-12_Cambodia-PhumPreyTear_11.5154881051519_104.840604879767
S18;2017-01-16;NA;NA;Angk Svay;NA;11.021003803905;105.916730018306;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-AngkSvay;S18_Dog_2017-01-16_Cambodia-AngkSvay_11.021003803905_105.916730018306
S06;2017-01-16;NA;NA;Doun Ov;NA;10.924763055832;104.440722242626;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-DounOv;S06_Dog_2017-01-16_Cambodia-DounOv_10.924763055832_104.440722242626
S43;2017-01-24;NA;NA;Chong Ampil;NA;11.6637965486434;105.424439899455;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-ChongAmpil;S43_Dog_2017-01-24_Cambodia-ChongAmpil_11.6637965486434_105.424439899455
S58;2017-01-26;NA;NA;Phnom Penh_3;NA;11.6147227328659;104.89805643138;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PhnomPenh3;S58_Dog_2017-01-26_Cambodia-PhnomPenh3_11.6147227328659_104.89805643138
S28;2017-01-30;NA;NA;Prey Sniet;NA;11.6226149074733;105.253466475246;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PreySniet;S28_Dog_2017-01-30_Cambodia-PreySniet_11.6226149074733_105.253466475246
S40;2017-01-31;NA;NA;Buor;NA;10.6226717146121;104.756648192787;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-Buor;S40_Dog_2017-01-31_Cambodia-Buor_10.6226717146121_104.756648192787
S758;2017-02-01;NA;NA;Ta Kaev Ti Pir;NA;11.663703334647;105.070243563884;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-TaKaevTiPir;S758_Dog_2017-02-01_Cambodia-TaKaevTiPir_11.663703334647_105.070243563884
S24;2017-03-01;NA;NA;Trapenang Antong;NA;11.6683315419552;104.64543862611;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-TrapenangAntong;S24_Dog_2017-03-01_Cambodia-TrapenangAntong_11.6683315419552_104.64543862611
S29;2017-03-01;NA;NA;Pra Boeng;NA;12.0914088426464;105.051147611017;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PraBoeng;S29_Dog_2017-03-01_Cambodia-PraBoeng_12.0914088426464_105.051147611017
S50;2017-03-06;NA;NA;Boeng Trav;NA;11.9617928801829;105.162921481121;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-BoengTrav;S50_Dog_2017-03-06_Cambodia-BoengTrav_11.9617928801829_105.162921481121
S47;2017-03-29;NA;NA;Toap Sdach;NA;10.7069310596011;104.616848849709;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-ToapSdach;S47_Dog_2017-03-29_Cambodia-ToapSdach_10.7069310596011_104.616848849709
S35;2017-04-17;NA;NA;Meanok Kaeut;NA;11.8730042567919;104.626757723682;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-MeanokKaeut;S35_Dog_2017-04-17_Cambodia-MeanokKaeut_11.8730042567919_104.626757723682
S81;2017-04-19;NA;NA;Prey Andoung;NA;11.1954643239765;105.54451309404;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PreyAndoung;S81_Dog_2017-04-19_Cambodia-PreyAndoung_11.1954643239765_105.54451309404
S02;2017-05-11;NA;NA;Phum Ti Prammuoy;NA;11.9908010986638;105.458875924966;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PhumTiPrammuoy;S02_Dog_2017-05-11_Cambodia-PhumTiPrammuoy_11.9908010986638_105.458875924966
S03;2017-05-08;NA;NA;Samraong;NA;12.4073056501855;105.089766622185;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-Samraong;S03_Dog_2017-05-08_Cambodia-Samraong_12.4073056501855_105.089766622185
S64;2017-07-24;NA;NA;Prey Khmaer;NA;11.3524712757449;104.688413328881;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PreyKhmaer;S64_Dog_2017-07-24_Cambodia-PreyKhmaer_11.3524712757449_104.688413328881
S806;2017-07-31;NA;NA;Kampong Luong;NA;10.9934926102461;104.977555291688;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-KampongLuong;S806_Dog_2017-07-31_Cambodia-KampongLuong_10.9934926102461_104.977555291688
S09;2017-08-07;NA;NA;Pou;NA;11.7927685569895;105.086174632167;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-Pou;S09_Dog_2017-08-07_Cambodia-Pou_11.7927685569895_105.086174632167
S2716;2017-08-22;NA;NA;Khlouk;NA;11.1995803728805;104.513890658558;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-Khlouk;S2716_Dog_2017-08-22_Cambodia-Khlouk_11.1995803728805_104.513890658558
S48;2017-08-24;NA;NA;Tranh Veaeng;NA;11.749960208524;104.424963703635;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-TranhVeaeng;S48_Dog_2017-08-24_Cambodia-TranhVeaeng_11.749960208524_104.424963703635
S13;2017-08-28;NA;NA;Oknha Tep;NA;11.473004180944;104.663398178151;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-OknhaTep;S13_Dog_2017-08-28_Cambodia-OknhaTep_11.473004180944_104.663398178151
S818;2017-09-11;NA;NA;Phsar Daek Kraom;NA;11.8071225327126;104.770663800872;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PhsarDaekKraom;S818_Dog_2017-09-11_Cambodia-PhsarDaekKraom_11.8071225327126_104.770663800872
S716;2017-09-12;NA;NA;Prey Chambak;NA;11.1986750388156;104.856114500024;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PreyChambak;S716_Dog_2017-09-12_Cambodia-PreyChambak_11.1986750388156_104.856114500024
S745;2017-09-27;NA;NA;Boeng Trav;NA;11.9617928801829;105.162921481121;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-BoengTrav;S745_Dog_2017-09-27_Cambodia-BoengTrav_11.9617928801829_105.162921481121
S6616;2017-10-06;NA;NA;Phnom Penh;NA;11.5591648199252;104.91750189559;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PhnomPenh;S6616_Dog_2017-10-06_Cambodia-PhnomPenh_11.5591648199252_104.91750189559
S718;2017-11-13;NA;NA;Prasaeur;NA;12.1758541159538;105.321044847548;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-Prasaeur;S718_Dog_2017-11-13_Cambodia-Prasaeur_12.1758541159538_105.321044847548
S616;2017-11-21;NA;NA;Prey Chek;NA;11.3092735104284;105.649139968055;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PreyChek;S616_Dog_2017-11-21_Cambodia-PreyChek_11.3092735104284_105.649139968055
S681;2017-12-05;NA;NA;Tean Phleung;NA;11.5537906374614;105.629594299416;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-TeanPhleung;S681_Dog_2017-12-05_Cambodia-TeanPhleung_11.5537906374614_105.629594299416
S82;2017-12-12;NA;NA;Trapeang Lbaeuk;NA;10.782686403217;104.356717578271;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-TrapeangLbaeuk;S82_Dog_2017-12-12_Cambodia-TrapeangLbaeuk_10.782686403217_104.356717578271
S664;2017-12-15;NA;NA;Chantum;NA;11.8496181020663;105.637038940725;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-Chantum;S664_Dog_2017-12-15_Cambodia-Chantum_11.8496181020663_105.637038940725
S53;2017-12-20;NA;NA;Prey Chek;NA;11.3092735104284;105.649139968055;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2017;Cambodia-PreyChek;S53_Dog_2017-12-20_Cambodia-PreyChek_11.3092735104284_105.649139968055
W06;2012-01-11;NA;NA;Kbal Damrei;NA;11.2909567425241;105.439587930347;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-KbalDamrei;W06_Dog_2012-01-11_Cambodia-KbalDamrei_11.2909567425241_105.439587930347
W008;2012-01-12;NA;NA;Boeng;NA;10.795265101462;104.420299710781;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-Boeng;W008_Dog_2012-01-12_Cambodia-Boeng_10.795265101462_104.420299710781
W15;2012-01-20;NA;NA;Trapeang Khnar;NA;10.9820283413298;104.670657526029;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-TrapeangKhnar;W15_Dog_2012-01-20_Cambodia-TrapeangKhnar_10.9820283413298_104.670657526029
W18;2012-01-27;NA;NA;Noreay;NA;11.1411612344151;104.65252998851;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-Noreay;W18_Dog_2012-01-27_Cambodia-Noreay_11.1411612344151_104.65252998851
W19;2012-01-30;NA;NA;Veal Ampil;NA;12.3478570753281;105.131882967047;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-VealAmpil;W19_Dog_2012-01-30_Cambodia-VealAmpil_12.3478570753281_105.131882967047
W27;2012-02-06;NA;NA;Preaek Pok;NA;10.6757682430587;104.454322062962;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-PreaekPok;W27_Dog_2012-02-06_Cambodia-PreaekPok_10.6757682430587_104.454322062962
W34;2012-02-15;NA;NA;Prey Totueng;NA;11.4026256598909;104.787942660628;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-PreyTotueng;W34_Dog_2012-02-15_Cambodia-PreyTotueng_11.4026256598909_104.787942660628
W36;2012-02-20;NA;NA;Traeuy Trak;NA;11.2738642340778;104.680600415004;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-TraeuyTrak;W36_Dog_2012-02-20_Cambodia-TraeuyTrak_11.2738642340778_104.680600415004
W37;2012-02-20;NA;NA;Reaksmei Rumdaoh;NA;12.2432244352537;105.138266962973;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-ReaksmeiRumdaoh;W37_Dog_2012-02-20_Cambodia-ReaksmeiRumdaoh_12.2432244352537_105.138266962973
W51;2012-03-06;NA;NA;Svay Pear;NA;11.0777375871838;104.923801778356;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-SvayPear;W51_Dog_2012-03-06_Cambodia-SvayPear_11.0777375871838_104.923801778356
W53;2012-03-07;NA;NA;Daeum Chrey;NA;11.8451614163288;104.990571132793;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-DaeumChrey;W53_Dog_2012-03-07_Cambodia-DaeumChrey_11.8451614163288_104.990571132793
W54;2012-03-09;NA;NA;Kaev Chamraeun;NA;11.1663874863508;104.874127831527;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-KaevChamraeun;W54_Dog_2012-03-09_Cambodia-KaevChamraeun_11.1663874863508_104.874127831527
W58;2012-03-15;NA;NA;Krang Ta Char;NA;11.7184124249657;104.531154341158;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-KrangTaChar;W58_Dog_2012-03-15_Cambodia-KrangTaChar_11.7184124249657_104.531154341158
W65;2012-03-25;NA;NA;Thmei;NA;11.7198843156862;104.524361224011;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-Thmei;W65_Dog_2012-03-25_Cambodia-Thmei_11.7198843156862_104.524361224011
W76;2012-04-09;NA;NA;Khloy Kaeut;NA;12.2408280466422;105.138146188959;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-KhloyKaeut;W76_Dog_2012-04-09_Cambodia-KhloyKaeut_12.2408280466422_105.138146188959
W098;2012-04-30;NA;NA;Trapeang Reang;NA;10.780700733987;104.389951491608;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-TrapeangReang;W098_Dog_2012-04-30_Cambodia-TrapeangReang_10.780700733987_104.389951491608
W106;2012-05-08;NA;NA;Dambouk Khpos;NA;11.205981256314;104.239912132346;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-DamboukKhpos;W106_Dog_2012-05-08_Cambodia-DamboukKhpos_11.205981256314_104.239912132346
W107;2012-05-10;NA;NA;Kampong Popil;NA;11.653259015854;105.141252446793;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-KampongPopil;W107_Dog_2012-05-10_Cambodia-KampongPopil_11.653259015854_105.141252446793
W154;2012-06-26;NA;NA;Angkor Phdiek;NA;11.123709158709;104.756159304254;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-AngkorPhdiek;W154_Dog_2012-06-26_Cambodia-AngkorPhdiek_11.123709158709_104.756159304254
W162;2012-07-04;NA;NA;Klaeng Poar;NA;12.015954789318;105.237062894505;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-KlaengPoar;W162_Dog_2012-07-04_Cambodia-KlaengPoar_12.015954789318_105.237062894505
W190;2012-08-06;NA;NA;Ba Baong;NA;11.3855165373081;105.328460183173;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-BaBaong;W190_Dog_2012-08-06_Cambodia-BaBaong_11.3855165373081_105.328460183173
W196;2012-08-20;NA;NA;Kok Ta Rie;NA;11.2110790862597;104.788431542415;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-KokTaRie;W196_Dog_2012-08-20_Cambodia-KokTaRie_11.2110790862597_104.788431542415
W202;2012-08-28;NA;NA;Kampong Reab;NA;11.1335569043055;105.016850685696;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-KampongReab;W202_Dog_2012-08-28_Cambodia-KampongReab_11.1335569043055_105.016850685696
W225;2012-09-26;NA;NA;Prey Sralet;NA;11.7233524803802;105.218272929474;Cambodia;Cambodian project;Cambodian project;Dog;Genome;Southeast Asia;2012;Cambodia-PreySralet;W225_Dog_2012-09-26_Cambodia-PreySralet_11.7233524803802_105.218272929474
